Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Zoo,5/14/1990,"Artificial, 7 classes of animals",Multivariate,Biology,Classification,"Categorical, Integer",101,16
Forest Fires,2/28/2008,"This is a difficult regression task, where the aim is to predict the burned area of forest fires, in the northeast region of Portugal, by using meteorological and other data (see details at: http://www.dsi.uminho.pt/~pcortez/forestfires).",Multivariate,Climate and Environment,Regression,Real,517,12
Heart Failure Clinical Records,2/4/2020,"This dataset contains the medical records of 299 patients who had heart failure, collected during their follow-up period, where each patient profile has 13 clinical features.",Multivariate,Health and Medicine,"Classification, Regression, Clustering","Integer, Real",299,12
Diabetes 130-US Hospitals for Years 1999-2008,5/2/2014,"The dataset represents ten years (1999-2008) of clinical care at 130 US hospitals and integrated delivery networks. Each row concerns hospital records of patients diagnosed with diabetes, who underwent laboratory, medications, and stayed up to 14 days. The goal is to determine the early readmission of the patient within 30 days of discharge.
The problem is important for the following reasons. Despite high-quality evidence showing improved clinical outcomes for diabetic patients who receive various preventive and therapeutic interventions, many patients do not receive them. This can be partially attributed to arbitrary diabetes management in hospital environments, which fail to attend to glycemic control. Failure to provide proper diabetes care not only increases the managing costs for the hospitals (as the patients are readmitted) but also impacts the morbidity and mortality of the patients, who may face complications associated with diabetes.",Multivariate,Health and Medicine,"Classification, Clustering","Categorical, Integer",101766,47
Covertype,7/31/1998,"Classification of pixels into 7 forest cover types based on attributes such as elevation, aspect, slope, hillshade, soil-type, and more.",Multivariate,Biology,Classification,"Categorical, Integer",581012,54
CDC Diabetes Health Indicators,Linked on 9/25/2023,"The Diabetes Health Indicators Dataset contains healthcare statistics and lifestyle survey information about people in general along with their diagnosis of diabetes. The 35 features consist of some demographics, lab test results, and answers to survey questions for each patient. The target variable for classification is whether a patient has diabetes, is pre-diabetic, or healthy.","Tabular, Multivariate",Health and Medicine,Classification,"Categorical, Integer",253680,21
Lung Cancer,4/30/1992,Lung cancer data; no attribute definitions,Multivariate,Health and Medicine,Classification,Integer,32,56
Liver Disorders,5/14/1990,BUPA Medical Research Ltd. database donated by Richard S. Forsyth,Multivariate,Health and Medicine,Regression,"Categorical, Integer, Real",345,5
Letter Recognition,12/31/1990,Database of character image features; try to identify the letter,Multivariate,Computer Science,Classification,Integer,20000,16
Real Estate Valuation,8/17/2018,"The real estate valuation is a regression problem. The market historical data set of real estate valuation are collected from Sindian Dist., New Taipei City, Taiwan.",Multivariate,Business,Regression,"Integer, Real",414,6
Ionosphere,12/31/1988,Classification of radar returns from the ionosphere,Multivariate,Physics and Chemistry,Classification,"Integer, Real",351,34
Computer Hardware,9/30/1987,"Relative CPU Performance Data, described in terms of its cycle time, memory size, etc.",Multivariate,Computer Science,Regression,Integer,209,10
Seeds,9/28/2012,"Measurements of geometrical properties of kernels belonging to three different varieties of wheat. A soft X-ray technique and GRAINS package were used to construct all seven, real-valued attributes.",Multivariate,Biology,"Classification, Clustering",Real,210,-
Hepatitis,10/31/1988,From G.Gong: CMU; Mostly Boolean or numeric-valued attribute types; Includes cost data (donated by Peter Turney),Multivariate,Health and Medicine,Classification,"Categorical, Integer, Real",155,19
Internet Advertisements,6/30/1998,This dataset represents a set of possible advertisements on Internet pages.,Multivariate,Computer Science,Classification,"Categorical, Integer, Real",3279,1558
Energy Efficiency,11/29/2012,"This study looked into assessing the heating load and cooling load requirements of buildings (that is, energy efficiency) as a function of building parameters.",Multivariate,Computer Science,"Classification, Regression","Integer, Real",768,8
Wholesale customers,3/30/2014,The data set refers to clients of a wholesale distributor. It includes the annual spending in monetary units (m.u.) on diverse product categories,Multivariate,Business,"Classification, Clustering",Integer,440,7
Seoul Bike Sharing Demand,2/29/2020,"The dataset contains count of public bicycles rented per hour in the Seoul Bike Sharing System, with corresponding weather data and holiday information",Multivariate,Business,Regression,"Integer, Real",8760,13
"Connectionist Bench (Sonar, Mines vs. Rocks)",N/A,The task is to train a network to discriminate between sonar signals bounced off a metal cylinder and those bounced off a roughly cylindrical rock.,Multivariate,Physics and Chemistry,Classification,Real,208,60
AI4I 2020 Predictive Maintenance Dataset,8/29/2020,The AI4I 2020 Predictive Maintenance Dataset is a synthetic dataset that reflects real predictive maintenance data encountered in industry.,"Multivariate, Time-Series",Computer Science,"Classification, Regression, Causal-Discovery",Real,10000,6
Chronic Kidney Disease,7/2/2015,This dataset can be used to predict the chronic kidney disease and it can be collected from the hospital nearly 2 months of period.,Multivariate,Other,Classification,Real,400,24
Concrete Compressive Strength,8/2/2007,Concrete is the most important material in civil engineering. The concrete compressive strength is a highly nonlinear function of age and ingredients.,Multivariate,Physics and Chemistry,Regression,Real,1030,8
Congressional Voting Records,4/26/1987,1984 United Stated Congressional Voting Records; Classify as Republican or Democrat,Multivariate,Social Science,Classification,Categorical,435,16
Parkinsons,6/25/2008,Oxford Parkinson's Disease Detection Dataset,Multivariate,Health and Medicine,Classification,Real,197,22
Yeast,8/31/1996,Predicting the Cellular Localization Sites of Proteins,Multivariate,Biology,Classification,Real,1484,8
Tic-Tac-Toe Endgame,8/18/1991,Binary classification task on possible configurations of tic-tac-toe game,Multivariate,Games,Classification,Categorical,958,9
Apartment for Rent Classified,12/25/2019,This is a dataset of classified for apartments for rent in USA.,Multivariate,Business,"Classification, Regression, Clustering","Categorical, Integer",10000,21
ElectricityLoadDiagrams20112014,3/12/2015,This data set contains electricity consumption of 370 points/clients.,Time-Series,Computer Science,"Regression, Clustering",Real,370,140256
Image Segmentation,10/31/1990,"Image data described by high-level numeric-valued attributes, 7 classes",Multivariate,Other,Classification,Real,2310,19
Arrhythmia,12/31/1997,Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups.,Multivariate,Health and Medicine,Classification,"Categorical, Integer, Real",452,279
Twenty Newsgroups,9/8/1999,This data set consists of 20000 messages taken from 20 newsgroups.,Text,Other,-,-,20000,-
Nursery,5/31/1997,Nursery Database was derived from a hierarchical decision model originally developed to rank applications for nursery schools.,Multivariate,Social Science,Classification,Categorical,12960,8
Phishing Websites,3/25/2015,"This dataset collected mainly from: PhishTank archive, MillerSmiles archive, GoogleÃ¢â¬â¢s searching operators.",Tabular,Computer Science,Classification,Integer,11055,30
Pen-Based Recognition of Handwritten Digits,6/30/1998,Digit database of 250 samples from 44 writers,Multivariate,Computer Science,Classification,Integer,10992,16
Statlog (Australian Credit Approval),N/A,This file concerns credit card applications. This database exists elsewhere in the repository (Credit Screening Database) in a slightly different form,Multivariate,Business,Classification,"Categorical, Integer, Real",690,14
Statlog (Heart),N/A,This dataset is a heart disease database similar to a database already present in the repository (Heart Disease databases) but in a slightly different form,Multivariate,Health and Medicine,Classification,"Categorical, Real",270,13
Online News Popularity,5/30/2015,This dataset summarizes a heterogeneous set of features about articles published by Mashable in a period of two years. The goal is to predict the number of shares in social networks (popularity).,Multivariate,Business,"Classification, Regression","Integer, Real",39797,58
Banknote Authentication,4/15/2013,Data were extracted from images that were taken for the evaluation of an authentication procedure for banknotes.,Multivariate,Computer Science,Classification,Real,1372,4
EEG Database,10/12/1999,This data arises from a large study to examine EEG correlates of genetic predisposition to alcoholism. It contains measurements from 64 electrodes placed on the scalp sampled at 256 Hz,"Multivariate, Time-Series",Health and Medicine,Classification,"Categorical, Integer, Real",122,-
Appliances Energy Prediction,2/14/2017,Experimental data used to create regression models of appliances energy use in a low energy building.,"Multivariate, Time-Series",Computer Science,Regression,Real,19735,28
Balance Scale,4/21/1994,Balance scale weight & distance database,Multivariate,Social Science,Classification,Categorical,625,4
Breast Cancer Wisconsin (Prognostic),11/30/1995,Prognostic Wisconsin Breast Cancer Database,Multivariate,Health and Medicine,"Classification, Regression",Real,198,33
Dermatology,12/31/1997,Aim for this dataset is to determine the type of Eryhemato-Squamous Disease.,Multivariate,Health and Medicine,Classification,"Categorical, Integer",366,34
Higher Education Students Performance Evaluation,8/14/2023,The data was collected from the Faculty of Engineering and Faculty of Educational Sciences students in 2019. The purpose is to predict students' end-of-term performances using ML techniques.,Multivariate,Social Science,Classification,Integer,145,31
Early Stage Diabetes Risk Prediction,7/11/2020,This dataset contains the sign and symptpom data of newly diabetic or would be diabetic patient.,Multivariate,Computer Science,Classification,"Categorical, Integer",520,16
Combined Cycle Power Plant,3/25/2014,"The dataset contains 9568 data points collected from a Combined Cycle Power Plant over 6 years (2006-2011), when the plant was set to work with full load.",Multivariate,Computer Science,Regression,Real,9568,4
Communities and Crime,7/12/2009,"Communities within the United States. The data combines socio-economic data from the 1990 US Census, law enforcement data from the 1990 US LEMAS survey, and crime data from the 1995 FBI UCR.",Multivariate,Social Science,Regression,Real,1994,127
Soybean (Large),7/10/1988,Michalski's famous soybean disease database,Multivariate,Biology,Classification,Categorical,307,35
National Poll on Healthy Aging (NPHA),12/5/2023,This is a subset of the NPHA dataset filtered down to develop and validate machine learning algorithms for predicting the number of doctors a survey respondent sees in a year. This datasetâs records represent seniors who responded to the NPHA survey.,Tabular,Health and Medicine,Classification,Categorical,714,14
Productivity Prediction of Garment Employees,8/2/2020,This dataset includes important attributes of the garment manufacturing process and the productivity of the employees which had been collected manually and also been validated by the industry experts.,"Multivariate, Time-Series",Business,"Classification, Regression","Integer, Real",1197,14
Drug Reviews (Drugs.com),10/3/2018,The dataset provides patient reviews on specific drugs along with related conditions and a 10 star patient rating reflecting overall patient satisfaction.,"Multivariate, Text",Health and Medicine,"Classification, Regression, Clustering",Integer,215063,6
Solar Flare,2/28/1989,Each class attribute counts the number of solar flares of a certain class that occur in a 24 hour period,Multivariate,Physics and Chemistry,Regression,Categorical,1389,10
Ecoli,8/31/1996,This data contains protein localization sites,Multivariate,Biology,Classification,Real,336,7
Movie,7/6/1999,"This data set contains a list of over 10000 films including many older, odd, and cult films. There is information on actors, casts, directors, producers, studios, etc.","Multivariate, Relational",Other,-,-,10000,-
Sentiment Labelled Sentences,5/29/2015,The dataset contains sentences labelled with positive or negative sentiment.,Text,Other,Classification,-,3000,-
HIGGS,2/11/2014,This is a classification problem to distinguish between a signal process which produces Higgs bosons and a background process which does not.,-,Physics and Chemistry,Classification,Real,11000000,-
Reuters-21578 Text Categorization Collection,9/25/1997,This is a collection of documents that appeared on Reuters newswire in 1987. The documents were assembled and indexed with categories.,Text,Business,Classification,Categorical,21578,5
Drug Consumption (Quantified),10/16/2016,Classify type of drug consumer by personality data,Multivariate,Social Science,Classification,Real,1885,12
Statlog (Vehicle Silhouettes),N/A,3D objects within a 2D image by application of an ensemble of shape feature extractors to the 2D silhouettes of the objects.,Multivariate,Other,Classification,Integer,946,18
Statlog (Landsat Satellite),2/12/1993,"Multi-spectral values of pixels in 3x3 neighbourhoods in a satellite image, and the classification associated with the central pixel in each neighbourhood",Multivariate,Climate and Environment,Classification,Integer,6435,36
Insurance Company Benchmark (COIL 2000),7/2/2000,This data set used in the CoIL 2000 Challenge contains information on customers of an insurance company. The data consists of 86 variables and includes product usage data and socio-demographic data,Multivariate,Social Science,"Regression, Description","Categorical, Integer",9000,-
Statlog (Shuttle),N/A,The shuttle dataset contains 9 attributes all of which are numerical. Approximately 80% of the data belongs to class 1,Multivariate,Physics and Chemistry,Classification,Integer,58000,7
Contraceptive Method Choice,7/6/1997,Dataset is a subset of the 1987 National Indonesia Contraceptive Prevalence Survey.,Multivariate,Health and Medicine,Classification,"Categorical, Integer",1473,9
WESAD (Wearable Stress and Affect Detection),Linked on 9/13/2018,"WESAD (Wearable Stress and Affect Detection) contains data of 15 subjects during a stress-affect lab study, while wearing physiological and motion sensors.","Multivariate, Time-Series",Computer Science,"Classification, Regression",Real,63000000,-
Lenses,7/31/1990,Database for fitting contact lenses,Multivariate,Other,Classification,Categorical,24,3
Parkinsons Telemonitoring,10/28/2009,Oxford Parkinson's Disease Telemonitoring Dataset,Tabular,Health and Medicine,Regression,"Integer, Real",5875,19
MetroPT-3 Dataset,3/21/2023,"From a metro train in an operational context, readings from pressure, temperature, motor current, and air intake valves were collected from a compressor's Air Production Unit (APU). This dataset reveals real predictive maintenance challenges encountered in the industry. It can be used for failure predictions, anomaly explanations, and other tasks.","Tabular, Multivariate, Time-Series",Computer Science,Classification,Real,1516948,15
ISOLET,9/11/1994,Goal: Predict which letter-name was spoken--a simple classification task.,Multivariate,Computer Science,Classification,Real,7797,617
Horse Colic,8/5/1989,"Well documented attributes; 368 instances with 28 attributes (continuous, discrete, and nominal); 30% missing values",Multivariate,Biology,Classification,"Categorical, Integer, Real",368,27
KDD Cup 1999 Data,12/31/1998,"This is the data set used for The Third International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-99",Multivariate,Computer Science,Classification,"Categorical, Integer",4000000,-
Poker Hand,12/31/2006,Purpose is to predict poker hands,Multivariate,Games,Classification,"Categorical, Integer",1025010,10
Water Quality Prediction,5/14/2022,"Here we want to forecast the spatio-temporal water quality in terms of the Ã¢â¬Åpower of hydrogen (pH)Ã¢â¬Â value for the next day based on the input data, which is the historical data of other water measurement indices. The input data consists of daily samples for 36 sites, providing measurements related to pH values in Georgia, USA. The input features consist of 11 common indices including volume of dissolved oxygen, temperature, and specific conductance (see details in dataset). The output to predict is the measurement of 'pH, water, unfiltered, field, standard units (Median)'.

There are two major water systems to consider: one is centered on the city of Atlanta while the other is centered on the eastern coast of Georgia. This information indicates spatial dependency among different locations which are important to the forecast.

For details of the data description, please refer to the file named README.docx.

'Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)' 'pH, water, unfiltered, field, standard units (Maximum)' 'pH, water, unfiltered, field, standard units (Minimum)' 'Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)' 'Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)' 'Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)' 'Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)' 'Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)' 'Temperature, water, degrees Celsius (Mean)' 'Temperature, water, degrees Celsius (Minimum)' 'Temperature, water, degrees Celsius (Maximum)'",Other,Computer Science,Regression,-,705,-
Flags,5/14/1990,"From Collins Gem Guide to Flags, 1986",Multivariate,Other,Classification,"Categorical, Integer",194,30
Myocardial infarction complications,12/8/2020,Prediction of myocardial infarction complications,Multivariate,Health and Medicine,Classification,Real,1700,111
ILPD (Indian Liver Patient Dataset),5/20/2012,"Death by liver cirrhosis continues to increase, given the increase in alcohol consumption rates, chronic hepatitis infections, and obesity-related liver disease. Notwithstanding the high mortality of this disease, liver diseases do not affect all sub-populations equally. The early detection of pathology is a determinant of patient outcomes, yet female patients appear to be marginalized when it comes to early diagnosis of liver pathology. 
The dataset comprises 584 patient records collected from the NorthEast of Andhra Pradesh, India.
The prediction task is to determine whether a patient suffers from liver disease based on the information about several biochemical markers, including albumin and other enzymes required for metabolism.",Multivariate,Health and Medicine,Classification,"Integer, Real",583,10
CMU Face Images,6/23/1999,"This data consists of 640 black and white face images of people taken with varying pose (straight, left, right, up), expression (neutral, happy, sad, angry), eyes (wearing sunglasses or not), and size",Image,Other,Classification,Integer,640,-
Land Mines,12/19/2022,"Detection of mines buried in the ground is very important in terms of safety of life and property. Many different methods have been used in this regard; however, it has not yet been possible to achieve 100% success. Mine detection process consists of sensor design, data analysis and decision algorithm phases. The magnetic anomaly method works according to the principle of measuring the anomalies resulting from the object in the magnetic field that disturbs the structure of it, the magnetic field, and the data obtained at this point are used to determine the conditions such as motion and position. The determination of parameters such as position, depth or direction of motion using magnetic anomaly has been carried out since 1970.","Tabular, Multivariate, Other",Engineering,"Classification, Clustering","Real, Integer",338,3
RT-IoT2022,1/4/2024,"The RT-IoT2022, a proprietary dataset derived from a real-time IoT infrastructure, is introduced as a comprehensive resource integrating a diverse range of IoT devices and sophisticated network attack methodologies. This dataset encompasses both normal and adversarial network behaviours, providing a general representation of real-world scenarios.
Incorporating data from IoT devices such as ThingSpeak-LED, Wipro-Bulb, and MQTT-Temp, as well as simulated attack scenarios involving Brute-Force SSH attacks, DDoS attacks using Hping and Slowloris, and Nmap patterns, RT-IoT2022 offers a detailed perspective on the complex nature of network traffic. The bidirectional attributes of network traffic are meticulously captured using the Zeek network monitoring tool and the Flowmeter plugin. Researchers can leverage the RT-IoT2022 dataset to advance the capabilities of Intrusion Detection Systems (IDS), fostering the development of robust and adaptive security solutions for real-time IoT networks.","Tabular, Sequential, Multivariate",Engineering,"Classification, Regression, Clustering","Real, Categorical",123117,83
Absenteeism at work,4/4/2018,The database was created with records of absenteeism at work from July 2007 to July 2010 at a courier company in Brazil.,"Multivariate, Time-Series",Business,"Classification, Clustering","Integer, Real",740,19
Traffic Flow Forecasting,6/17/2021,The task for this dataset is to forecast the spatio-temporal traffic volume based on the historical traffic volume and other features in neighboring locations.,Multivariate,Engineering,Regression,-,2101,-
Iranian Churn,4/8/2020,This dataset is randomly collected from an Iranian telecom company's database over a period of 12 months.,Multivariate,Business,"Classification, Regression",Integer,3150,13
Glioma Grading Clinical and Mutation Features,12/13/2022,"Gliomas are the most common primary tumors of the brain. They can be graded as LGG (Lower-Grade Glioma) or GBM (Glioblastoma Multiforme) depending on the histological/imaging criteria. Clinical and molecular/mutation factors are also very crucial for the grading process. Molecular tests are expensive to help accurately diagnose glioma patients.    In this dataset, the most frequently mutated 20 genes and 3 clinical features are considered from TCGA-LGG and TCGA-GBM brain glioma projects.  The prediction task is to determine whether a patient is LGG or GBM with a given clinical and molecular/mutation features. The main objective is to find the optimal subset of mutation genes and clinical features for the glioma grading process to improve performance and reduce costs.","Tabular, Multivariate",Health and Medicine,"Classification, Other","Real, Categorical, Integer",839,23
Waveform Database Generator (Version 1),11/9/1988,CART book's waveform domains,"Multivariate, Data-Generator",Physics and Chemistry,Classification,Real,5000,21
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset,9/21/2023,"The National Health and Nutrition Examination Survey (NHANES), administered by the Centers for Disease Control and Prevention (CDC), collects extensive health and nutritional information from a diverse U.S. population. Though expansive, the dataset is often too broad for specific analytical purposes. In this sub-dataset, we narrow our focus to predicting respondents' age by extracting a subset of features from the larger NHANES dataset. These selected features include physiological measurements, lifestyle choices, and biochemical markers, which were hypothesized to have strong correlations with age.",Tabular,Health and Medicine,Classification,"Real, Categorical, Integer",6287,7
Molecular Biology (Promoter Gene Sequences),6/29/1990,E. Coli promoter gene sequences (DNA) with partial domain theory,"Sequential, Domain-Theory",Biology,Classification,Categorical,106,-
Haberman's Survival,3/3/1999,Dataset contains cases from study conducted on the survival of patients who had undergone surgery for breast cancer,Multivariate,Health and Medicine,Classification,Integer,306,3
Soybean (Small),12/31/1986,Michalski's famous soybean disease database,Multivariate,Biology,Classification,Categorical,47,35
Protein Data,N/A,Undocumented,-,Biology,-,-,-,-
HCV data,6/9/2020,The data set contains laboratory values of blood donors and Hepatitis C patients and demographic values like age.,Multivariate,Health and Medicine,"Classification, Clustering","Integer, Real",615,12
Clickstream Data for Online Shopping,12/8/2019,The dataset contains information on clickstream from online store offering clothing for pregnant women.,"Multivariate, Sequential",Business,"Classification, Regression, Clustering","Integer, Real",165474,14
Balloons,N/A,Data previously used in cognitive psychology experiment; 4 data sets represent different conditions of an experiment,Multivariate,Social Science,Classification,Categorical,16,4
MONK's Problems,9/30/1992,A set of three artificial domains over the same attribute space; Used to test a wide range of induction algorithms,Multivariate,Other,Classification,Categorical,432,6
Statlog Project,9/30/1992,"Various Databases: Vehicle Silhouettes, Landsat Satellite, Shuttle, Australian Credit Approval, Heart Disease, Image Segmentation, German Credit",Other,Other,Other,-,1,-
Anonymous Microsoft Web Data,10/31/1998,Log of anonymous users of www.microsoft.com; predict areas of the web site a user visited based on data on other areas the user visited.,-,Computer Science,Recommender-Systems,Categorical,37711,294
Infrared Thermography Temperature,Linked on 11/20/2023,"The Infrared Thermography Temperature Dataset contains temperatures read from various locations of inferred images about patients, with the addition of oral temperatures measured for each individual. The 33 features consist of gender, age, ethnicity, ambiant temperature, humidity, distance, and other temperature readings from the thermal images. The dataset is intended to be used in a regression task to predict the oral temperature using the environment information as well as the thermal image readings.",Tabular,Health and Medicine,Regression,"Real, Categorical",1020,33
Census-Income (KDD),3/6/2000,This data set contains weighted census data extracted from the 1994 and 1995 current population surveys conducted by the U.S. Census Bureau.,Multivariate,Social Science,Classification,"Categorical, Integer",299285,41
Echocardiogram,2/27/1989,Data for classifying if patients will survive for at least one year after a heart attack,Multivariate,Health and Medicine,Classification,"Categorical, Integer, Real",132,9
